[2020-11-20 16:53:57:1027][main] INFO  c.d.DataAnalyticsManagerApplicationTests - Starting DataAnalyticsManagerApplicationTests on ihyein-ui-MacBookPro.local with PID 67243 (started by heain in /Users/heain/Downloads/data_analytics_manager-master/DataAnalyticsManager)
[2020-11-20 16:53:57:1028][main] INFO  c.d.DataAnalyticsManagerApplicationTests - No active profile set, falling back to default profiles: default
[2020-11-20 16:53:58:2162][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
[2020-11-20 16:53:58:2180][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11ms. Found 0 JDBC repository interfaces.
[2020-11-20 16:53:59:2616][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-11-20 16:53:59:2640][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'databaseConfig' of type [com.daumsoft.dataAnalyticsManager.config.DatabaseConfig$$EnhancerBySpringCGLIB$$5e22cc5c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-11-20 16:53:59:2679][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'hikariConfig' of type [com.zaxxer.hikari.HikariConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-11-20 16:53:59:2685][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2020-11-20 16:53:59:2842][main] INFO  jdbc.sqlonly - SELECT 1

[2020-11-20 16:53:59:2868][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2020-11-20 16:53:59:2872][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.zaxxer.hikari.HikariDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-11-20 16:53:59:2890][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-11-20 16:53:59:2901][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-11-20 16:53:59:2909][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionManager' of type [org.springframework.jdbc.datasource.DataSourceTransactionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2020-11-20 16:53:59:2911][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionAspect' of type [com.daumsoft.dataAnalyticsManager.aop.TransactionAspect$$EnhancerBySpringCGLIB$$f88bd25d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
